,PV Premiums,PV Renewal Commission,PV Maintenance Expense Attributable,PV Claims,PV Attributable Acquisition CFs,PV Risk Adjustment CFs,TOTAL FULFILLMENT CFs,CSM at Initial Recognition,LIABILITY ON INITIAL RECOGNITION
0,7356340.0,-329567.0,-277388.0,-829443.0,-422500,-124416.0,5373026.0,5373026.0,0.0
1,6854994.0,-342750.0,-258484.0,-822621.0,0,-123393.0,5307747.0,0.0,5307747.0
2,6373692.0,-318685.0,-240335.0,-817541.0,0,-122631.0,4874499.0,0.0,4874499.0
3,5911215.0,-295561.0,-222896.0,-805156.0,0,-120773.0,4466828.0,0.0,4466828.0
4,5466469.0,-273323.0,-206126.0,-794552.0,0,-119183.0,4073284.0,0.0,4073284.0
5,5038334.0,-251917.0,-189982.0,-777557.0,0,-116633.0,3702245.0,0.0,3702245.0
6,4625801.0,-231290.0,-174427.0,-754631.0,0,-113195.0,3352258.0,0.0,3352258.0
7,4227899.0,-211395.0,-159423.0,-733527.0,0,-110029.0,3013525.0,0.0,3013525.0
8,3843637.0,-192182.0,-144934.0,-707224.0,0,-106084.0,2693213.0,0.0,2693213.0
9,3472115.0,-173606.0,-130924.0,-676094.0,0,-101414.0,2390077.0,0.0,2390077.0
10,3112469.0,-155623.0,-117363.0,-640477.0,0,-96072.0,2102934.0,0.0,2102934.0
11,2763862.0,-138193.0,-104218.0,-600684.0,0,-90103.0,1830664.0,0.0,1830664.0
12,2425487.0,-121274.0,-91459.0,-551357.0,0,-82704.0,1578693.0,0.0,1578693.0
13,2096606.0,-104830.0,-79058.0,-498467.0,0,-74770.0,1339482.0,0.0,1339482.0
14,1776462.0,-88823.0,-66986.0,-442235.0,0,-66335.0,1112083.0,0.0,1112083.0
15,1464318.0,-73216.0,-55216.0,-378043.0,0,-56706.0,901137.0,0.0,901137.0
16,1159500.0,-57975.0,-43722.0,-310950.0,0,-46642.0,700211.0,0.0,700211.0
17,861313.0,-43066.0,-32478.0,-241101.0,0,-36165.0,508504.0,0.0,508504.0
18,569082.0,-28454.0,-21459.0,-164516.0,0,-24677.0,329976.0,0.0,329976.0
19,282181.0,-14109.0,-10640.0,-81576.0,0,-12236.0,163620.0,0.0,163620.0
