,Premiums,Acquisition Commission,Renewal Commission,Acquisition Expense Attributable,Maintenance Expense Attributable,Acquisition Expense Non-Attributable,Maintenance Expense Non-Attributable,Claims,TOTAL NET CASH FLOWS
0,765000.0,-382500,0.0,-40000,-30000.0,-60000,-20000.0,-40000.0,192500.0
1,726444.0,0,-36322.0,0,-28488.0,0,-18992.0,-37984.0,604658.0
2,689831.0,0,-34492.0,0,-27052.0,0,-18035.0,-45087.0,565166.0
3,654995.0,0,-32750.0,0,-25686.0,0,-17124.0,-42810.0,536625.0
4,621918.0,0,-31096.0,0,-24389.0,0,-16259.0,-48778.0,501396.0
5,590448.0,0,-29522.0,0,-23155.0,0,-15437.0,-54028.0,468307.0
6,560513.0,0,-28026.0,0,-21981.0,0,-14654.0,-51289.0,444564.0
7,532095.0,0,-26605.0,0,-20866.0,0,-13911.0,-55644.0,415069.0
8,505064.0,0,-25253.0,0,-19806.0,0,-13204.0,-59419.0,387381.0
9,479357.0,0,-23968.0,0,-18798.0,0,-12532.0,-62661.0,361397.0
10,454909.0,0,-22745.0,0,-17840.0,0,-11893.0,-65412.0,337019.0
11,431664.0,0,-21583.0,0,-16928.0,0,-11285.0,-73355.0,308512.0
12,409519.0,0,-20476.0,0,-16060.0,0,-10706.0,-74945.0,287333.0
13,388470.0,0,-19423.0,0,-15234.0,0,-10156.0,-76171.0,267486.0
14,368464.0,0,-18423.0,0,-14450.0,0,-9633.0,-81881.0,244077.0
15,349414.0,0,-17471.0,0,-13703.0,0,-9135.0,-82215.0,226891.0
16,331314.0,0,-16566.0,0,-12993.0,0,-8662.0,-82287.0,210807.0
17,314119.0,0,-15706.0,0,-12318.0,0,-8212.0,-86229.0,191654.0
18,297754.0,0,-14888.0,0,-11677.0,0,-7784.0,-89521.0,173884.0
19,282181.0,0,-14109.0,0,-11066.0,0,-7377.0,-84839.0,164790.0
